Phylum,R1,R1,R1,R1,R2,R2,R2,R2,S,S,S,S
Actinobacteria,0.001094115,6.19643E-05,0,0,0,5.25176E-05,0,0,0,0,0,0
Bacteroidetes,0,6.19643E-05,0,0.001333408,5.36128E-05,0,0.000109347,8.47237E-05,0.000140884,0,0,0
Deinococcus-Thermus,5.47058E-05,4.26005E-05,3.01444E-05,9.12598E-05,0.000871209,3.20941E-05,2.10283E-05,4.56204E-05,1.40884E-05,9.20342E-06,3.69803E-05,8.43158E-06
Proteobacteria,9.11763E-05,6.58371E-05,2.51203E-05,0.00013689,3.3508E-05,6.12706E-05,2.94396E-05,5.21376E-05,7.04421E-06,0.000381942,0.000166411,1.12421E-05
Proteobacteria,5.16666E-05,0.000123929,2.76324E-05,0.00015717,5.0262E-05,4.37647E-05,5.04679E-05,5.21376E-05,0,6.90257E-06,0,0.000562106
Firmicutes,0.000167156,9.29465E-05,8.28971E-05,0.00017745,0.000184294,0.000102118,7.14962E-05,8.47237E-05,4.57874E-05,5.29197E-05,5.01875E-05,5.05895E-05
Proteobacteria,4.55881E-05,1.93639E-05,3.26564E-05,5.06999E-05,4.35604E-05,0,0.000689728,2.60688E-05,0.000309945,1.38051E-05,1.32072E-05,1.68632E-05
Proteobacteria,0,0,0,0.001434808,0,0,0,0,0,8.74325E-05,0,0
Proteobacteria,0.000504509,8.5201E-05,1.50722E-05,0.00016224,1.34032E-05,3.50118E-05,0,8.47237E-05,0,0,0.000169053,0
Bacteroidetes,3.34313E-05,2.71094E-05,0,1.521E-05,2.68064E-05,2.04235E-05,0,3.91032E-05,1.40884E-05,0.000598222,0,1.12421E-05
Firmicutes,6.68626E-05,3.48549E-05,2.51203E-05,6.08399E-05,4.35604E-05,3.20941E-05,1.68226E-05,2.60688E-05,7.04421E-06,0.000453268,1.84901E-05,2.52948E-05
Proteobacteria,3.95097E-05,2.71094E-05,0,7.09799E-05,0,4.37647E-05,0.00102618,0,2.11326E-05,0,0,0
Chloroflexi,0,5.42188E-05,2.76324E-05,4.05599E-05,0.000810894,1.45882E-05,0,1.30344E-05,0,9.20342E-06,1.58487E-05,1.68632E-05
Proteobacteria,0.000665587,3.48549E-05,1.75842E-05,3.54899E-05,0,4.66823E-05,4.20566E-05,0,2.11326E-05,3.2212E-05,0,2.24842E-05
